时间 (Time),时间 (Time),指标A (index A),指标B (index B),指标C (index C),指标D (index D),T1,T2,M1,M2,M3,M4
2022-01-21 19:50:00,2022-01-21 19:50:00,80.38,22.58,12.24,18.3,1405.3,899.02,51.24,88.26,48.24,23.28
2022-01-21 20:50:00,2022-01-21 20:50:00,80.55,24.19,12.07,19.15,1404.68,899.04,51.24,88.26,48.24,23.28
2022-01-21 21:50:00,2022-01-21 21:50:00,80.62,23.52,12.41,19.51,1404.41,898.7,51.24,88.26,48.24,23.28
2022-01-21 22:50:00,2022-01-21 22:50:00,80.65,22.94,12.24,19.11,1404.55,899.08,51.24,88.26,48.24,23.28
2022-01-21 23:50:00,2022-01-21 23:50:00,80.94,22.05,11.72,19.96,1403.97,898.42,51.24,88.26,48.24,23.28
2022-01-22 00:50:00,2022-01-22 00:50:00,80.67,22.05,11.55,19.51,1403.75,897.92,54.74,93.05,49.03,21.48
2022-01-22 01:50:00,2022-01-22 01:50:00,80.44,22.32,11.37,19.2,1406.22,900.33,54.74,93.05,49.03,21.48
2022-01-22 02:50:00,2022-01-22 02:50:00,79.49,23.52,11.37,17.99,1404.01,984.78,54.74,93.05,49.03,21.48
2022-01-22 03:50:00,2022-01-22 03:50:00,79.03,23.93,11.2,16.96,1405.25,985.19,54.74,93.05,49.03,21.48
2022-01-22 04:50:00,2022-01-22 04:50:00,79.52,23.48,11.2,17.59,1405.52,985.06,54.74,93.05,49.03,21.48
2022-01-22 05:50:00,2022-01-22 05:50:00,79.13,23.75,11.55,17.19,1405.38,985.18,54.74,93.05,49.03,21.48
2022-01-22 06:50:00,2022-01-22 06:50:00,79.24,23.79,11.37,17.54,1404.94,984.95,54.74,93.05,49.03,21.48
2022-01-22 07:50:00,2022-01-22 07:50:00,79.89,23.08,10.68,19.29,1404.5,984.84,54.74,93.05,49.03,21.48
2022-01-22 08:50:00,2022-01-22 08:50:00,79.92,23.84,10.85,21.7,1405.56,979.87,54.74,93.05,49.03,21.48
2022-01-22 09:50:00,2022-01-22 09:50:00,80.6,24.1,11.55,21.39,1404.76,979.69,54.74,93.05,49.03,21.48
2022-01-22 10:50:00,2022-01-22 10:50:00,80.58,23.21,10.85,20.41,1404.99,979.74,54.74,93.05,49.03,21.48
2022-01-22 11:50:00,2022-01-22 11:50:00,80.92,22.67,10.85,19.47,1405.38,931.23,54.74,93.05,49.03,21.48
2022-01-22 12:50:00,2022-01-22 12:50:00,81.18,22.27,10.51,18.62,1404.36,930.43,54.74,93.05,49.03,21.48
2022-01-22 13:50:00,2022-01-22 13:50:00,80.82,22.72,10.68,18.17,1405.21,931.96,54.74,93.05,49.03,21.48
2022-01-22 14:50:00,2022-01-22 14:50:00,80.4,22.58,10.85,18.21,1403.83,931.32,54.74,93.05,49.03,21.48
2022-01-22 15:50:00,2022-01-22 15:50:00,80.1,22.63,11.37,17.41,1404.32,930.86,54.74,93.05,49.03,21.48
2022-01-22 16:50:00,2022-01-22 16:50:00,79.83,23.17,12.07,17.14,1405.78,931.71,54.74,93.05,49.03,21.48
2022-01-22 17:50:00,2022-01-22 17:50:00,80.26,22.54,11.72,17.05,1406.05,932.16,54.74,93.05,49.03,21.48
2022-01-22 18:50:00,2022-01-22 18:50:00,79.55,22.45,11.55,16.96,1404.32,931.43,54.74,93.05,49.03,21.48
2022-01-22 19:50:00,2022-01-22 19:50:00,79.76,22.0,11.72,18.84,1404.68,930.64,54.74,93.05,49.03,21.48
2022-01-22 20:49:00,2022-01-22 20:49:00,80.51,22.0,11.37,18.53,1404.85,931.36,54.74,93.05,49.03,21.48
2022-01-22 21:50:00,2022-01-22 21:50:00,80.16,21.78,10.85,17.9,1404.76,931.28,54.74,93.05,49.03,21.48
2022-01-22 22:50:00,2022-01-22 22:50:00,79.79,22.58,11.2,17.05,1405.07,931.12,54.74,93.05,49.03,21.48
2022-01-22 23:50:00,2022-01-22 23:50:00,80.19,21.69,10.68,17.19,1404.98,931.11,54.74,93.05,49.03,21.48
